SESSION_ID,ENERGIA_TOTAL_MJ,MASSA_TOTAL_TON,TIPO_COMBUSTIVEL_PRINCIPAL,NUM_REGISTROS_CONSUMO
39800000086,1903.5,47.0,LSHFO 0.5,1
39800000088,1944.0,48.0,LSHFO 0.5,1
39800000091,1863.0,46.0,LSHFO 0.5,1
39800000093,1903.5,47.0,LSHFO 0.5,1
39800000095,1863.0,46.0,LSHFO 0.5,1
39800000097,1944.0,48.0,LSHFO 0.5,1
39800000100,1822.5,45.0,LSHFO 0.5,1
39800000102,1660.5,41.0,LSHFO 0.5,1
39800000104,1620.0,40.0,LSHFO 0.5,1
39800000106,1620.0,40.0,LSHFO 0.5,1
39800000108,1620.0,40.0,LSHFO 0.5,1
39800000114,810.0,20.0,LSHFO 0.5,1
39800000143,81.0,2.0,LSHFO 0.5,1
39800000156,0.0,0.0,LSHFO 0.5,1
39800000158,405.0,10.0,LSHFO 0.5,1
39800000161,1782.0,44.0,LSHFO 0.5,2
39800000163,1620.0,40.0,LSHFO 0.5,1
39800000165,1620.0,40.0,LSHFO 0.5,1
39800000167,1134.0,28.0,LSHFO 0.5,1
39800000170,1134.0,28.0,LSHFO 0.5,1
39800000174,0.0,0.0,LSHFO 0.5,2
39800000178,405.0,10.0,LSHFO 0.5,2
39800000192,81.0,2.0,LSHFO 0.5,1
39800000211,1053.0,26.0,LSHFO 0.5,1
39800000213,850.5,21.0,LSHFO 0.5,2
39800000220,810.0,20.0,LSHFO 0.5,1
39800000224,0.0,0.0,LSHFO 0.5,1
39800000227,0.0,0.0,LSHFO 0.5,2
39800000249,130.005,3.21,LSHFO 0.5,1
39800000304,121.5,3.0,LSHFO 0.5,1
39800000326,121.5,3.0,LSHFO 0.5,1
39800000348,8.1,0.2,LSHFO 0.5,1
39800000374,37.260000000000005,0.92,LSHFO 0.5,1
39800000385,0.0,0.0,LSHFO 0.5,1
39800000392,0.0,0.0,LSHFO 0.5,2
39800000406,769.5,19.0,LSHFO 0.5,1
39800000411,58.725,1.45,LSHFO 0.5,1
39800000421,40.5,1.0,LSHFO 0.5,1
39800000428,149.85,3.7,LSHFO 0.5,1
39800000430,1581.93,39.06,LSHFO 0.5,1
39800000439,81.0,2.0,LSHFO 0.5,1
39800000455,0.0,0.0,LSHFO 0.5,2
39800000472,0.0,0.0,LSHFO 0.5,2
39800000509,1053.0,26.0,LSHFO 0.5,1
39800000511,2025.0,50.0,LSHFO 0.5,1
39800000513,1782.0,44.0,LSHFO 0.5,1
39800000519,1053.0,26.0,LSHFO 0.5,1
39800000523,121.5,3.0,LSHFO 0.5,1
39800000527,40.5,1.0,LSHFO 0.5,1
39800000533,121.5,3.0,LSHFO 0.5,1
39800000577,27.135,0.67,LSHFO 0.5,1
39800000583,648.0,16.0,LSHFO 0.5,2
39800000589,0.0,0.0,LSHFO 0.5,2
39800000619,0.0,0.0,LSHFO 0.5,2
39800000629,40.5,1.0,LSHFO 0.5,1
39800000649,81.0,2.0,LSHFO 0.5,1
39800000659,81.0,2.0,LSHFO 0.5,1
39800000670,891.0,22.0,LSHFO 0.5,1
39800000672,1620.0,40.0,LSHFO 0.5,1
39800000677,1377.0,34.0,LSHFO 0.5,2
39800000679,1903.5,47.0,LSHFO 0.5,1
39800000686,1944.0,48.0,LSHFO 0.5,1
39800000688,1903.5,47.0,LSHFO 0.5,1
39800000697,2025.0,50.0,LSHFO 0.5,1
39800000699,2065.5,51.0,LSHFO 0.5,1
39800000701,2025.0,50.0,LSHFO 0.5,1
39800000703,2065.5,51.0,LSHFO 0.5,1
39800000705,2025.0,50.0,LSHFO 0.5,1
39800000707,2065.5,51.0,LSHFO 0.5,1
39800000710,810.0,20.0,LSHFO 0.5,1
39800000712,1944.0,48.0,LSHFO 0.5,1
39800000714,1903.5,47.0,LSHFO 0.5,1
39800000716,2025.0,50.0,LSHFO 0.5,1
39800000718,1944.0,48.0,LSHFO 0.5,1
39800000720,1903.5,47.0,LSHFO 0.5,1
39800000722,2025.0,50.0,LSHFO 0.5,1
39800000724,1903.5,47.0,LSHFO 0.5,1
39800000726,1822.5,45.0,LSHFO 0.5,1
39800000728,1863.0,46.0,LSHFO 0.5,1
39800000730,1701.0,42.0,LSHFO 0.5,1
39800000732,1822.5,45.0,LSHFO 0.5,1
39800000734,1579.5,39.0,LSHFO 0.5,1
39800000736,1579.5,39.0,LSHFO 0.5,1
39800000738,1782.0,44.0,LSHFO 0.5,1
39800000740,1863.0,46.0,LSHFO 0.5,1
39800000742,1863.0,46.0,LSHFO 0.5,1
39800000744,1741.5,43.0,LSHFO 0.5,1
39800000746,1579.5,39.0,LSHFO 0.5,1
39800000749,405.0,10.0,LSHFO 0.5,1
39800000754,162.0,4.0,LSHFO 0.5,1
39800000758,0.0,0.0,LSHFO 0.5,3
39800000766,162.0,4.0,LSHFO 0.5,1
39800000792,202.5,5.0,LSHFO 0.5,1
39800000809,202.5,5.0,LSHFO 0.5,1
39800000813,1620.0,40.0,LSHFO 0.5,1
39800000815,1620.0,40.0,LSHFO 0.5,1
39800000817,1741.5,43.0,LSHFO 0.5,1
39800000820,1822.5,45.0,LSHFO 0.5,1
39800000822,1741.5,43.0,LSHFO 0.5,1
39800000824,1822.5,45.0,LSHFO 0.5,1
39800000826,1822.5,45.0,LSHFO 0.5,1
39800000828,1782.0,44.0,LSHFO 0.5,1
39800000830,1822.5,45.0,LSHFO 0.5,1
39800000832,1863.0,46.0,LSHFO 0.5,1
39800000834,1822.5,45.0,LSHFO 0.5,1
39800000836,1822.5,45.0,LSHFO 0.5,1
39800000838,1701.0,42.0,LSHFO 0.5,1
39800000840,1498.5,37.0,LSHFO 0.5,1
39800000842,1539.0,38.0,LSHFO 0.5,1
39800000844,1498.5,37.0,LSHFO 0.5,1
39800000846,1417.5,35.0,LSHFO 0.5,1
39800000848,1417.5,35.0,LSHFO 0.5,1
39800000850,1539.0,38.0,LSHFO 0.5,1
39800000852,1498.5,37.0,LSHFO 0.5,1
39800000854,1498.5,37.0,LSHFO 0.5,1
39800000856,1660.5,41.0,LSHFO 0.5,1
39800000858,1620.0,40.0,LSHFO 0.5,1
39800000860,1701.0,42.0,LSHFO 0.5,1
39800000864,1741.5,43.0,LSHFO 0.5,1
39800000866,1782.0,44.0,LSHFO 0.5,1
39800000913,40.5,1.0,LSHFO 0.5,1
39800000923,40.5,1.0,LSHFO 0.5,1
39800000947,607.5,15.0,LSHFO 0.5,1
39800000952,0.0,0.0,LSHFO 0.5,2
39800000989,162.0,4.0,LSHFO 0.5,1
39800000993,162.0,4.0,LSHFO 0.5,1
39800000995,1539.0,38.0,LSHFO 0.5,1
39800000997,1498.5,37.0,LSHFO 0.5,1
39800000999,1944.0,48.0,LSHFO 0.5,1
39800001014,0.0,0.0,LSHFO 0.5,2
39800001018,121.5,3.0,LSHFO 0.5,2
39800001030,81.0,2.0,LSHFO 0.5,1
39800001036,81.0,2.0,LSHFO 0.5,1
39800001062,40.5,1.0,LSHFO 0.5,1
39800001066,40.5,1.0,LSHFO 0.5,1
39800001076,405.0,10.0,LSHFO 0.5,1
39800001080,81.0,2.0,LSHFO 0.5,1
39800001109,0.0,0.0,LSHFO 0.5,2
39800001113,101.25,2.5,LSHFO 0.5,1
39800001131,1012.5,25.0,LSHFO 0.5,1
39800001133,1741.5,43.0,LSHFO 0.5,1
39800001135,1903.5,47.0,LSHFO 0.5,1
39800001137,1903.5,47.0,LSHFO 0.5,1
39800001139,1903.5,47.0,LSHFO 0.5,1
39800001141,2025.0,50.0,LSHFO 0.5,1
39800001143,1822.5,45.0,LSHFO 0.5,1
39800001145,1984.5,49.0,LSHFO 0.5,1
39800001147,1660.5,41.0,LSHFO 0.5,1
39800001149,1660.5,41.0,LSHFO 0.5,1
39800001151,1660.5,41.0,LSHFO 0.5,1
39800001153,1660.5,41.0,LSHFO 0.5,1
39800001155,1863.0,46.0,LSHFO 0.5,1
39800001157,1863.0,46.0,LSHFO 0.5,1
39800001159,1863.0,46.0,LSHFO 0.5,1
39800001162,1741.5,43.0,LSHFO 0.5,1
39800001164,1741.5,43.0,LSHFO 0.5,1
39800001166,1944.0,48.0,LSHFO 0.5,1
39800001168,2025.0,50.0,LSHFO 0.5,1
